fips,ps_wtotl,do_psdel,state,cluster_model1,color
23029,1.57,0.58,ME,243,red
13191,1.04,0.94,GA,170,red
13179,6.42,3.18,GA,163,red
9003,59.22,25.29,CT,261,purple
9013,4.93,3.83,CT,235,red
9015,7.71,2.5,CT,163,red
25019,2.0,0.79,MA,179,red
24023,2.74,1.17,MD,290,red
50027,3.1,1.51,VT,162,red
33019,2.71,1.47,NH,52,red
33001,3.12,1.59,NH,162,red
33005,4.12,2.12,NH,155,red
33017,8.0,5.17,NH,242,red
36123,1.1,1.06,NY,170,red
36003,3.12,2.09,NY,282,red
36007,18.73,10.7,NY,18,red
36009,9.45,3.7,NY,135,red
36015,8.37,3.55,NY,277,red
36017,2.22,2.13,NY,282,red
36023,3.8,2.85,NY,234,red
36025,405.54,2.34,NY,5,green
36037,3.74,3.06,NY,234,red
36041,0.75,0.19,NY,278,red
36049,1.81,1.3,NY,166,red
36051,3.78,3.81,NY,235,red
36053,1.22,4.02,NY,296,red
36057,2.61,2.48,NY,282,red
36067,58.04,16.5,NY,119,red
36069,46.53,6.75,NY,142,red
36071,33.04,20.81,NY,151,red
36077,3.1,2.98,NY,234,red
36079,2.82,1.85,NY,122,red
36087,33.18,22.65,NY,274,red
36095,173.82,1.38,NY,31,purple
36097,0.83,0.79,NY,15,red
36099,4.41,1.93,NY,225,red
36101,7.5,4.89,NY,242,red
36105,89.77,3.34,NY,97,red
36107,3.45,2.33,NY,155,red
36109,7.87,7.13,NY,283,red
36121,3.26,1.86,NY,162,red
42001,12.39,2.5,PA,206,red
42003,178.17,63.65,PA,41,purple
42005,6.65,2.15,PA,273,red
42007,22.14,7.65,PA,240,red
42009,9.99,1.0,PA,239,red
42013,13.07,5.68,PA,115,red
42015,3.02,1.62,PA,122,red
42019,7.66,6.48,PA,283,red
42021,14.93,5.98,PA,115,red
42023,0.34,0.17,PA,111,red
42031,2.73,0.86,PA,258,red
42033,5.84,2.73,PA,231,red
42037,5.02,1.74,PA,101,red
42039,5.67,2.14,PA,101,red
42041,13.36,8.65,PA,81,red
42043,31.47,12.64,PA,53,red
42047,5.32,1.86,PA,101,red
42053,0.41,0.07,PA,111,red
42055,8.47,5.41,PA,90,red
42057,0.37,0.16,PA,111,red
42059,7.19,1.34,PA,273,red
42061,2.85,1.19,PA,290,red
42063,4.11,2.29,PA,155,red
42065,2.14,1.09,PA,179,red
42067,0.82,0.39,PA,278,red
42069,38.7,8.02,PA,91,red
42071,54.45,15.41,PA,119,red
42073,10.07,2.89,PA,54,red
42075,3.55,4.22,PA,133,red
42079,22.82,14.81,PA,268,red
42083,6.77,1.72,PA,273,red
42085,13.74,3.31,PA,139,red
42087,2.69,1.32,PA,52,red
42093,0.03,0.66,PA,217,red
42099,0.71,0.8,PA,15,red
42103,3.05,1.6,PA,162,red
42105,0.91,0.36,PA,276,red
42107,23.38,6.01,PA,286,red
42109,1.6,1.03,PA,170,red
42111,22.61,2.2,PA,252,red
42113,0.65,0.05,PA,278,red
42115,1.41,0.57,PA,276,red
42117,2.03,0.81,PA,179,red
42119,2.87,0.78,PA,258,red
42121,4.68,2.49,PA,225,red
42123,3.07,0.99,PA,290,red
42125,39.71,8.79,PA,91,red
42131,0.66,0.46,PA,278,red
42133,34.82,14.88,PA,222,red
44005,7.2,3.07,RI,163,red
51141,0.29,0.13,VA,111,red
51143,1.62,1.34,VA,166,red
51155,4.39,2.14,VA,225,red
51161,25.13,6.89,VA,40,red
51163,1.74,0.51,VA,243,red
51167,1.18,1.44,VA,293,red
51169,1.12,1.26,VA,170,red
51173,2.19,1.91,VA,122,red
51185,3.79,2.7,VA,155,red
51191,11.77,3.92,VA,143,red
51195,4.9,3.1,VA,4,red
51197,4.35,1.4,VA,289,red
51005,0.91,1.01,VA,170,red
51035,1.7,1.1,VA,179,red
51031,4.46,2.33,VA,225,red
51089,2.86,2.45,VA,282,red
51121,6.92,5.68,VA,242,red
51083,2.1,0.86,VA,179,red
51077,0.11,0.24,VA,111,red
51071,1.12,0.82,VA,170,red
51067,1.76,1.3,VA,166,red
51063,0.11,0.19,VA,111,red
51051,4.96,1.09,VA,289,red
51045,0.0,0.1,VA,111,red
51037,0.24,0.28,VA,111,red
51029,0.36,0.48,VA,278,red
51027,0.0,1.59,VA,293,red
51023,5.46,0.93,VA,149,red
51021,0.04,0.18,VA,111,red
51019,1.54,2.54,VA,250,red
51017,0.29,0.32,VA,278,red
51011,0.0,0.16,VA,111,red
51009,12.03,1.5,VA,241,red
51105,2.34,1.62,VA,52,red
50015,1.29,0.5,VT,276,red
50017,2.16,0.53,VT,243,red
50003,3.3,1.17,VT,290,red
50019,1.63,0.59,VT,243,red
50023,1.85,1.56,VT,166,red
50013,0.5,0.2,VT,278,red
54081,9.89,6.05,WV,247,red
54079,2.61,3.89,WV,133,red
54077,2.21,1.91,WV,122,red
54075,0.38,0.24,WV,278,red
54073,0.57,0.38,WV,278,red
54069,7.7,3.92,WV,277,red
54067,2.78,1.91,WV,122,red
54063,0.49,0.52,WV,278,red
54061,10.87,8.03,WV,112,red
54059,4.02,1.47,WV,162,red
54055,3.58,3.5,WV,4,red
54053,2.33,1.4,WV,52,red
54051,4.67,3.59,WV,235,red
54049,8.21,4.8,WV,242,red
54047,2.9,1.32,WV,290,red
54045,4.29,1.62,WV,162,red
54043,0.3,0.34,WV,278,red
54039,32.16,14.02,WV,222,red
54035,1.81,1.46,WV,166,red
54029,1.46,3.39,WV,296,red
54025,3.42,1.72,WV,162,red
54083,2.75,1.55,WV,52,red
54021,0.64,0.3,WV,278,red
54019,5.37,3.01,WV,231,red
54015,0.4,0.28,WV,278,red
54013,0.32,0.26,WV,111,red
54011,12.17,6.41,WV,33,red
54009,5.21,1.75,WV,101,red
54007,1.09,0.7,WV,15,red
54005,0.19,1.19,WV,217,red
54103,1.78,0.98,WV,179,red
54105,0.0,0.1,WV,111,red
54107,7.97,6.67,WV,283,red
54109,1.82,1.21,WV,166,red
54001,1.45,1.1,WV,170,red
54091,1.82,1.1,WV,179,red
54101,0.49,0.45,WV,278,red
54099,2.91,2.57,WV,282,red
54097,2.11,1.34,WV,166,red
54095,0.57,0.56,WV,15,red
54093,0.61,0.3,WV,278,red
54089,2.49,0.53,WV,258,red
54087,0.85,0.67,WV,15,red
54085,0.48,0.49,WV,278,red
42097,11.05,3.88,PA,143,red
23001,7.92,3.45,ME,277,red
34017,0.0,53.91,NJ,188,red
36085,0.0,32.74,NY,173,red
34013,31.22,63.44,NJ,147,purple
36085,0.0,32.74,NY,173,red
34017,0.0,53.91,NJ,188,red
