County,Population,Median household income,State Code,State,FIPS
Autauga County,55221,51281.0,AL,Alabama,1001.0
Baldwin County,195121,50254.0,AL,Alabama,1003.0
Barbour County,26932,32964.0,AL,Alabama,1005.0
Bibb County,22604,38678.0,AL,Alabama,1007.0
Blount County,57710,45813.0,AL,Alabama,1009.0
Bullock County,10678,31938.0,AL,Alabama,1011.0
Butler County,20354,32229.0,AL,Alabama,1013.0
Calhoun County,116648,41703.0,AL,Alabama,1015.0
Chambers County,34079,34177.0,AL,Alabama,1017.0
Cherokee County,26008,36296.0,AL,Alabama,1019.0
Chilton County,43819,41627.0,AL,Alabama,1021.0
Choctaw County,13395,33536.0,AL,Alabama,1023.0
Clarke County,25070,32011.0,AL,Alabama,1025.0
Clay County,13537,35327.0,AL,Alabama,1027.0
Cleburne County,15002,38056.0,AL,Alabama,1029.0
Coffee County,50884,46729.0,AL,Alabama,1031.0
Colbert County,54444,40576.0,AL,Alabama,1033.0
Conecuh County,12865,24900.0,AL,Alabama,1035.0
Coosa County,11027,31212.0,AL,Alabama,1037.0
Covington County,37886,36444.0,AL,Alabama,1039.0
Crenshaw County,13938,36022.0,AL,Alabama,1041.0
Cullman County,80965,38971.0,AL,Alabama,1043.0
Dale County,49866,45028.0,AL,Alabama,1045.0
Dallas County,42154,27306.0,AL,Alabama,1047.0
DeKalb County,71068,38192.0,AL,Alabama,1049.0
Elmore County,80763,53555.0,AL,Alabama,1051.0
Escambia County,37935,32330.0,AL,Alabama,1053.0
Etowah County,103766,39220.0,AL,Alabama,1055.0
Fayette County,16896,34680.0,AL,Alabama,1057.0
Franklin County,31634,35372.0,AL,Alabama,1059.0
Geneva County,26815,36024.0,AL,Alabama,1061.0
Greene County,8697,20541.0,AL,Alabama,1063.0
Hale County,15256,32714.0,AL,Alabama,1065.0
Henry County,17252,41997.0,AL,Alabama,1067.0
Houston County,103534,41571.0,AL,Alabama,1069.0
Jackson County,52860,37745.0,AL,Alabama,1071.0
Jefferson County,659026,45610.0,AL,Alabama,1073.0
Lamar County,14133,35450.0,AL,Alabama,1075.0
Lauderdale County,92737,43125.0,AL,Alabama,1077.0
Lawrence County,33586,40003.0,AL,Alabama,1079.0
Lee County,150982,44570.0,AL,Alabama,1081.0
Limestone County,88805,49570.0,AL,Alabama,1083.0
Lowndes County,10742,25876.0,AL,Alabama,1085.0
Macon County,20018,30738.0,AL,Alabama,1087.0
Madison County,346438,57993.0,AL,Alabama,1089.0
Marengo County,20306,32042.0,AL,Alabama,1091.0
Marion County,30387,32299.0,AL,Alabama,1093.0
Marshall County,94318,38983.0,AL,Alabama,1095.0
Mobile County,414251,43809.0,AL,Alabama,1097.0
Monroe County,22217,27257.0,AL,Alabama,1099.0
Montgomery County,228138,44369.0,AL,Alabama,1101.0
Morgan County,119786,45751.0,AL,Alabama,1103.0
Perry County,10038,24537.0,AL,Alabama,1105.0
Pickens County,19856,30330.0,AL,Alabama,1107.0
Pike County,33155,32825.0,AL,Alabama,1109.0
Randolph County,22648,36924.0,AL,Alabama,1111.0
Russell County,58302,37049.0,AL,Alabama,1113.0
St. Clair County,85864,51859.0,AL,Alabama,1115.0
Shelby County,203530,70187.0,AL,Alabama,1117.0
Sumter County,13341,19501.0,AL,Alabama,1119.0
Talladega County,81437,35155.0,AL,Alabama,1121.0
Tallapoosa County,41153,39206.0,AL,Alabama,1123.0
Tuscaloosa County,200458,46565.0,AL,Alabama,1125.0
Walker County,65923,35843.0,AL,Alabama,1127.0
Washington County,16997,42811.0,AL,Alabama,1129.0
Wilcox County,11235,23750.0,AL,Alabama,1131.0
Winston County,24130,33194.0,AL,Alabama,1133.0
Aleutians East Borough,3304,61518.0,AK,Alaska,2013.0
Aleutians West Census Area,5684,84306.0,AK,Alaska,2016.0
Municipality of Anchorage,299107,78326.0,AK,Alaska,2020.0
Bethel Census Area,17776,51012.0,AK,Alaska,2050.0
Bristol Bay Borough,970,79750.0,AK,Alaska,2060.0
Denali Borough,2060,81544.0,AK,Alaska,2068.0
Dillingham Census Area,4979,54173.0,AK,Alaska,2070.0
Fairbanks North Star Borough,99705,71068.0,AK,Alaska,2090.0
Haines Borough,2560,58750.0,AK,Alaska,2100.0
