STATE,COUNTY,FIPS,YEAR,TP-TotPop,PS-GWPop,PS-SWPop,PS-TOPop,PS-WGWTo,PS-WSWTo,PS-Wtotl,DO-SSPop,DO-SSPCp,DO-PSDel,DO-PSPCp,DO-WFrTo,DO-WDelv ,IN-WGWTo,IN-WSWTo,IN-Wtotl,IR-WFrTo,IR-RecWW,IR-CUsFr,IR-IrTot,IC-WFrTo,IC-RecWW,IC-CUsFr,IC-IrTot,IG-WFrTo,IG-RecWW,IG-CUsFr,IG-IrTot,LI-WFrTo,AQ-WGWTo,AQ-WSWTo,AQ-Wtotl,MI-WGWTo,MI-WSWTo,MI-Wtotl,PT-WGWTo,PT-WSWTo,PT-Wtotl,PT-RecWW,PT-PSDel,PT-CUTot,PT-Power,PO-WGWTo,PO-WSWTo,PO-Wtotl,PO-RecWW,PO-PSDel,PO-CUTot,PO-Power,PC-WGWTo,PC-WSWTo,PC-Wtotl,PC-RecWW,PC-PSDel,PC-CUTot,PC-Power,TO-WGWTo,TO-WSWTo,TO-Wtotl,TO-CUTotPartial
AL,Autauga County,1001,2015,55.347,--,--,48.998,3.64,0.0,3.64,6.349,60.0,2.71,55.0,0.38,3.09,1.83,32.97,34.8,3.52,--,3.52,2.26,3.36,--,3.36,2.16,0.16,--,0.16,0.1,0.19,0.0,0.0,0.0,1.4,0.62,2.02,0.0,11.86,11.86,--,--,9.66,15711.64,0.0,0.0,0.0,--,--,0.0,0.0,0.0,11.86,11.86,--,--,9.66,15711.64,10.69,45.72,56.41,13.18
AL,Baldwin County,1003,2015,203.709,--,--,174.907,23.67,0.0,23.67,28.802,74.0,12.78,73.0,2.14,14.92,0.0,0.0,0.0,58.28,--,58.28,20.66,53.95,--,53.95,18.52,4.33,--,4.33,2.14,0.29,0.05,0.05,0.1,0.22,0.0,0.22,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,73.38,11.32,84.7,58.28
AL,Barbour County,1005,2015,26.489,--,--,24.587,3.23,0.0,3.23,1.902,63.0,1.42,58.0,0.12,1.54,1.5,0.0,1.5,2.96,--,2.96,4.53,2.49,--,2.49,4.23,0.47,--,0.47,0.3,0.41,0.18,0.18,0.36,0.3,0.14,0.44,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,6.06,2.96,9.02,2.96
AL,Bibb County,1007,2015,22.583,--,--,20.947,5.18,0.0,5.18,1.636,98.0,1.81,86.0,0.16,1.97,0.0,0.0,0.0,0.19,--,0.19,0.16,0.03,--,0.03,0.06,0.16,--,0.16,0.1,0.07,0.0,0.0,0.0,0.27,0.0,0.27,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,5.67,0.2,5.87,0.19
AL,Blount County,1009,2015,57.673,--,--,44.815,2.78,54.08,56.86,12.858,67.0,2.79,62.0,0.86,3.65,0.0,0.0,0.0,1.08,--,1.08,0.94,0.35,--,0.35,0.53,0.73,--,0.73,0.41,0.9,0.0,0.0,0.0,0.37,0.0,0.37,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,4.64,55.43,60.07,1.08
AL,Bullock County,1011,2015,10.696,--,--,9.958,2.11,0.0,2.11,0.738,95.0,0.89,89.0,0.07,0.96,0.0,0.0,0.0,2.0,--,2.0,1.67,1.84,--,1.84,1.61,0.16,--,0.16,0.06,0.16,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,3.16,1.23,4.39,2.0
AL,Butler County,1013,2015,20.154,--,--,16.806,2.28,0.0,2.28,3.348,81.0,1.35,80.0,0.27,1.62,0.2,0.0,0.2,0.99,--,0.99,0.3,0.01,--,0.01,0.02,0.98,--,0.98,0.28,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,2.89,1.17,4.06,0.99
AL,Calhoun County,1015,2015,115.62,--,--,109.438,22.47,2.78,25.25,6.182,71.0,7.52,69.0,0.44,7.96,1.15,0.0,1.15,3.15,--,3.15,1.92,1.39,--,1.39,1.14,1.76,--,1.76,0.78,0.36,0.12,0.12,0.24,0.06,0.02,0.08,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,24.39,6.28,30.67,3.15
AL,Chambers County,1017,2015,34.123,--,--,25.783,0.0,4.2,4.2,8.34,58.0,1.74,67.0,0.48,2.22,0.0,0.0,0.0,0.23,--,0.23,0.18,0.07,--,0.07,0.12,0.16,--,0.16,0.06,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,0.64,4.49,5.13,0.23
AL,Cherokee County,1019,2015,25.859,--,--,17.746,2.43,0.77,3.2,8.113,60.0,1.08,61.0,0.49,1.57,0.0,0.0,0.0,2.82,--,2.82,1.87,2.66,--,2.66,1.77,0.16,--,0.16,0.1,0.4,0.51,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,3.59,3.83,7.42,2.82
