,STATE,COUNTYNAME,FIPS,LON,LAT
0,ME,Washington,23029,-67.6361,45.0363
1,GA,McIntosh,13191,-81.2646,31.5329
2,GA,Liberty,13179,-81.2103,31.7093
3,AS,Swains Island,60040,-171.0459,-11.0843
4,AS,Manu'a,60020,-169.506,-14.2219
5,AS,Western,60050,-170.7691,-14.3241
6,AS,Eastern,60010,-170.6596,-14.2763
7,PR,Anasco,72011,-67.1221,18.287
8,PR,Arroyo,72015,-66.0563,17.9982
9,PR,Barceloneta,72017,-66.5605,18.4454
10,PR,Barranquitas,72019,-66.3099,18.2017
11,PR,Bayamon,72021,-66.1684,18.3497
12,PR,Caguas,72025,-66.0508,18.2119
13,PR,Canovanas,72029,-65.8879,18.3288
14,PR,Cayey,72035,-66.1495,18.1029
15,PR,Ceiba,72037,-65.6678,18.2526
16,PR,Ciales,72039,-66.5164,18.2889
17,PR,Cidra,72041,-66.1611,18.1737
18,PR,Coamo,72043,-66.3601,18.0972
19,PR,Comerio,72045,-66.2219,18.2248
20,PR,Corozal,72047,-66.3279,18.3043
21,PR,Florida,72054,-66.5601,18.3735
22,PR,Guanica,72055,-66.9198,17.9827
23,PR,Guayama,72057,-66.1336,18.0077
24,PR,Guayanilla,72059,-66.7916,18.0406
25,PR,Guaynabo,72061,-66.1145,18.3442
26,PR,Gurabo,72063,-65.9791,18.2663
27,PR,Hatillo,72065,-66.7964,18.4106
28,PR,Hormigueros,72067,-67.114,18.1341
29,PR,Mayaguez,72097,-67.337,18.1716
30,PR,Naguabo,72103,-65.7542,18.2306
31,PR,Jayuya,72073,-66.5885,18.2106
32,PR,Juana Diaz,72075,-66.4951,18.0507
33,PR,Juncos,72077,-65.9089,18.2236
34,PR,Lajas,72079,-67.0404,18.0123
35,PR,Lares,72081,-66.8669,18.2689
36,PR,Las Piedras,72085,-65.8693,18.1876
37,PR,Manati,72091,-66.4902,18.4204
38,PR,Maricao,72093,-66.9424,18.1721
39,PR,Maunabo,72095,-65.9219,18.018
40,PR,Moca,72099,-67.0808,18.3779
41,PR,Morovis,72101,-66.4202,18.3171
42,PR,Naranjito,72105,-66.2526,18.2884
43,PR,Orocovis,72107,-66.4339,18.2149
44,PR,Patillas,72109,-66.0122,18.0317
45,PR,Penuelas,72111,-66.7211,18.0608
46,PR,Ponce,72113,-66.6141,18.0597
47,PR,Sabana Grande,72121,-66.9435,18.083
48,PR,Salinas,72123,-66.2564,18.0115
49,PR,San German,72125,-67.0385,18.1111
50,PR,San Juan,72127,-66.0607,18.3864
51,PR,San Lorenzo,72129,-65.9764,18.148
52,PR,Santa Isabel,72133,-66.3889,17.995
53,PR,Trujillo Alto,72139,-65.9992,18.3362
54,PR,Utuado,72141,-66.7024,18.271
55,PR,Vega Alta,72143,-66.3372,18.4093
56,PR,Villalba,72149,-66.4729,18.128
57,PR,Yabucoa,72151,-65.8965,18.0706
58,PR,Yauco,72153,-66.8586,18.0801
59,PR,San Sebastian,72131,-66.9712,18.3288
60,PR,Adjuntas,72001,-66.7542,18.1798
61,PR,Aguas Buenas,72007,-66.1268,18.2517
62,PR,Aibonito,72009,-66.2644,18.1311
63,VI,Saint Croix,78010,-64.7677,17.7333
64,PR,Arecibo,72013,-66.6752,18.4068
65,PR,Las Marias,72083,-66.9835,18.2371
66,PR,Rincon,72117,-67.2414,18.3374
67,PR,Aguadilla,72005,-67.1207,18.4597
68,PR,Isabela,72071,-67.0052,18.4499
69,PR,Camuy,72027,-66.8602,18.4188
70,PR,Dorado,72051,-66.2787,18.4365
71,PR,Toa Alta,72135,-66.2464,18.3626
72,PR,Aguada,72003,-67.1748,18.3603
73,PR,Culebra,72049,-65.2877,18.3159
74,PR,Cabo Rojo,72023,-67.1537,18.0415
75,PR,Fajardo,72053,-65.6686,18.3176
76,PR,Vieques,72147,-65.4414,18.1231
77,PR,Carolina,72031,-65.9567,18.3742
78,VI,Saint Thomas,78030,-64.9302,18.3453
79,PR,Quebradillas,72115,-66.926,18.4397
80,PR,Catano,72033,-66.144,18.4374
81,PR,Luquillo,72089,-65.7249,18.3422
82,PR,Humacao,72069,-65.8105,18.1452
83,VI,Saint John,78020,-64.7385,18.339
84,PR,Rio Grande,72119,-65.8202,18.3553
85,PR,Loiza,72087,-65.9247,18.434
86,CT,Hartford,9003,-72.7328,41.8064
87,CT,Tolland,9013,-72.3365,41.855
88,CT,Windham,9015,-71.9875,41.8299
89,MA,Nantucket,25019,-70.0744,41.2781
90,MD,Garrett,24023,-79.2739,39.5286
91,VT,Windsor,50027,-72.5855,43.5798
92,NH,Sullivan,33019,-72.2223,43.3612
93,NH,Belknap,33001,-71.4233,43.5188
94,NH,Cheshire,33005,-72.2512,42.9193
95,NH,Strafford,33017,-71.0293,43.2975
96,NY,Yates,36123,-77.1055,42.6335
97,NY,Allegany,36003,-78.0276,42.2574
98,NY,Broome,36007,-75.8196,42.1602
99,NY,Cattaraugus,36009,-78.6789,42.2486
100,NY,Chemung,36015,-76.76,42.1413
101,NY,Chenango,36017,-75.6115,42.4936
102,NY,Cortland,36023,-76.0702,42.595
103,NY,Delaware,36025,-74.9664,42.1982
