fips,ir_wfrto,ir_recww,cluster_model2,color
23029,7.37,0.0,27,red
13191,0.16,0.0,27,red
13179,0.0,0.0,27,red
9003,4.09,0.0,38,red
9013,0.5,0.0,0,red
9015,0.56,0.0,27,red
25019,1.2,0.0,27,red
24023,0.0,0.0,27,red
50027,0.26,0.0,27,red
33019,0.11,0.0,27,red
33001,0.41,0.0,27,red
33005,0.21,0.0,27,red
33017,0.38,0.0,0,red
36123,0.38,0.0,27,red
36003,0.23,0.0,27,red
36007,0.45,0.0,0,red
36009,0.59,0.0,27,red
36015,0.14,0.0,27,red
36017,0.29,0.0,27,red
36023,0.19,0.0,27,red
36025,0.29,0.0,27,red
36037,2.92,0.0,27,red
36041,0.08,0.0,27,red
36049,0.15,0.0,27,red
36051,0.3,0.0,27,red
36053,0.82,0.0,0,red
36057,0.15,0.0,27,red
36067,1.6,0.0,38,red
36069,0.68,0.0,0,red
36071,2.02,0.0,0,red
36077,0.34,0.0,27,red
36079,0.26,0.0,27,red
36087,0.63,0.0,0,red
36095,0.29,0.0,27,red
36097,0.13,0.0,27,red
36099,0.24,0.0,27,red
36101,0.61,0.0,27,red
36105,0.52,0.0,0,red
36107,0.55,0.0,27,red
36109,0.25,0.0,27,red
36121,1.6,0.0,27,red
42001,0.95,0.0,0,red
42003,1.73,0.0,38,red
42005,0.29,0.0,27,red
42007,0.4,0.0,0,red
42009,0.19,0.0,27,red
42013,0.23,0.0,27,red
42015,0.09,0.0,27,red
42019,0.8,0.0,0,red
42021,0.32,0.0,0,red
42023,0.03,0.0,27,red
42031,0.12,0.0,27,red
42033,0.18,0.0,27,red
42037,0.36,0.0,27,red
42039,0.46,0.0,0,red
42041,0.86,0.0,0,red
42043,0.74,0.0,0,red
42047,0.12,0.0,27,red
42053,0.04,0.0,27,red
42055,1.25,0.0,0,red
42057,0.07,0.0,27,red
42059,0.08,0.0,27,red
42061,0.48,0.0,27,red
42063,0.21,0.0,27,red
42065,0.12,0.0,27,red
42067,0.08,0.0,27,red
42069,0.49,0.0,0,red
42071,2.71,0.0,0,red
42073,0.34,0.0,0,red
42075,0.79,0.0,27,red
42079,0.57,0.0,0,red
42083,0.13,0.0,27,red
42085,0.45,0.0,0,red
42087,0.08,0.0,27,red
42093,0.1,0.0,27,red
42099,0.1,0.0,27,red
42103,0.18,0.0,27,red
42105,0.04,0.0,27,red
42107,0.74,0.0,27,red
42109,0.36,0.0,27,red
42111,0.33,0.0,0,red
42113,0.04,0.0,27,red
42115,0.15,0.0,27,red
42117,0.15,0.0,27,red
42119,0.07,0.0,27,red
42121,0.11,0.0,27,red
42123,0.16,0.0,27,red
42125,0.81,0.0,0,red
42131,0.14,0.0,27,red
42133,0.9,0.0,0,red
44005,0.47,0.0,0,red
51141,0.13,0.0,27,red
51143,1.25,0.0,27,red
51155,0.1,0.0,27,red
51161,0.69,0.0,0,red
51163,0.08,0.0,27,red
51167,0.03,0.0,27,red
51169,0.04,0.0,27,red
51173,0.05,0.0,27,red
51185,0.09,0.0,27,red
51191,0.5,0.0,0,red
51195,0.08,0.0,27,red
51197,0.08,0.0,27,red
51005,0.11,0.0,27,red
51035,0.48,0.0,27,red
51031,0.16,0.0,27,red
51089,0.11,0.0,27,red
51121,0.38,0.0,27,red
51083,0.78,0.0,27,red
51077,0.08,0.0,27,red
51071,0.09,0.0,27,red
51067,0.55,0.0,0,red
51063,0.07,0.0,27,red
51051,0.03,0.0,27,red
51045,0.0,0.0,27,red
51037,0.24,0.0,27,red
51029,0.0,0.0,27,red
51027,0.0,0.0,27,red
51023,0.05,0.0,27,red
51021,0.06,0.0,27,red
51019,0.18,0.0,27,red
51017,0.17,0.0,27,red
51011,0.11,0.0,27,red
51009,0.09,0.0,27,red
51105,0.08,0.0,27,red
50015,0.13,0.0,27,red
50017,0.11,0.0,27,red
50003,0.38,0.0,27,red
50019,0.17,0.0,27,red
50023,0.18,0.0,27,red
50013,0.1,0.0,27,red
54081,0.31,0.0,0,red
54079,0.11,0.0,27,red
54077,0.09,0.0,27,red
54075,0.07,0.0,27,red
54073,0.02,0.0,27,red
54069,0.19,0.0,27,red
54067,0.04,0.0,27,red
54063,0.04,0.0,27,red
54061,0.34,0.0,0,red
54059,0.07,0.0,27,red
54055,0.04,0.0,27,red
54053,0.08,0.0,27,red
54051,0.04,0.0,27,red
54049,0.08,0.0,27,red
54047,0.01,0.0,27,red
54045,0.04,0.0,27,red
54043,0.0,0.0,27,red
54039,0.22,0.0,27,red
54035,0.04,0.0,27,red
54029,0.14,0.0,27,red
54025,0.27,0.0,0,red
54083,0.02,0.0,27,red
54021,0.02,0.0,27,red
54019,0.08,0.0,27,red
54015,0.0,0.0,27,red
54013,0.0,0.0,27,red
54011,0.15,0.0,27,red
54009,0.06,0.0,27,red
54007,0.0,0.0,27,red
54005,0.04,0.0,27,red
54103,0.0,0.0,27,red
54105,0.04,0.0,27,red
54107,0.27,0.0,0,red
54109,0.08,0.0,27,red
54001,0.02,0.0,27,red
54091,0.04,0.0,27,red
54101,0.0,0.0,27,red
54099,0.04,0.0,27,red
54097,0.06,0.0,27,red
54095,0.02,0.0,27,red
54093,0.07,0.0,27,red
54089,0.08,0.0,27,red
54087,0.02,0.0,27,red
54085,0.02,0.0,27,red
42097,0.54,0.0,27,red
23001,0.57,0.0,27,red
34017,0.02,0.0,27,red
36085,0.18,0.0,27,red
34013,0.75,0.0,27,red
36085,0.18,0.0,27,red
34017,0.02,0.0,27,red
34003,0.85,0.0,27,red
36119,2.64,0.0,22,red
36005,0.02,0.0,27,red
36061,0.0,0.0,27,red
36005,0.02,0.0,27,red
44001,0.11,0.0,27,red
25007,1.07,0.0,27,red
36063,1.83,0.0,0,red
36117,1.46,0.0,0,red
36075,0.66,0.0,0,red
36073,2.31,0.0,27,red
36055,1.3,0.0,38,red
23013,0.35,0.0,27,red
23023,0.18,0.0,27,red
23015,0.12,0.0,27,red
33013,0.79,0.0,0,red
34039,0.54,0.0,27,red
42051,0.23,0.0,27,red
42129,1.37,0.0,38,red
25017,3.42,0.0,38,red
9009,1.47,0.0,38,red
9005,0.72,0.0,0,red
25027,2.19,0.0,38,red
25003,0.38,0.0,27,red
25011,0.8,0.0,27,red
25015,0.56,0.0,0,red
25021,1.73,0.0,38,red
23021,0.13,0.0,27,red
23025,0.14,0.0,27,red
23003,4.03,0.0,27,red
23017,0.37,0.0,27,red
23019,1.44,0.0,0,red
33003,0.39,0.0,0,red
33011,1.41,0.0,38,red
34031,0.32,0.0,27,red
36119,2.64,0.0,22,red
36115,0.41,0.0,27,red
36113,0.25,0.0,27,red
36035,0.19,0.0,27,red
36031,0.27,0.0,27,red
36019,0.2,0.0,27,red
36033,0.38,0.0,27,red
36011,0.37,0.0,27,red
36065,0.74,0.0,0,red
36043,0.21,0.0,27,red
36093,0.42,0.0,0,red
36001,0.75,0.0,0,red
36039,0.56,0.0,0,red
36111,2.34,0.0,0,red
36027,1.01,0.0,0,red
36021,1.05,0.0,27,red
36083,0.55,0.0,0,red
36091,0.64,0.0,0,red
36089,0.49,0.0,27,red
42027,0.65,0.0,27,red
42081,0.3,0.0,27,red
42127,0.19,0.0,27,red
42049,0.96,0.0,0,red
42035,0.35,0.0,27,red
44007,0.77,0.0,0,red
44009,2.45,0.0,0,red
50007,0.45,0.0,0,red
50001,0.19,0.0,27,red
50021,0.4,0.0,0,red
50025,0.4,0.0,27,red
50011,0.26,0.0,27,red
25009,1.37,0.0,38,red
25023,104.27,0.0,11,red
25013,0.95,0.0,0,red
44003,0.45,0.0,0,red
33015,0.95,0.0,0,red
34039,0.54,0.0,27,red
23031,1.14,0.0,0,red
23005,1.05,0.0,0,red
23007,0.14,0.0,27,red
34003,0.85,0.0,27,red
9011,1.17,0.0,0,red
25025,0.13,0.0,27,red
23027,0.23,0.0,27,red
23009,1.16,0.0,27,red
36059,2.83,0.0,22,red
34013,0.75,0.0,27,red
25001,10.43,0.0,38,red
