fips,to_wtotl,ps_wtotl,cluster_model3,color
23029,47.75,1.57,4,red
13191,1.48,1.04,4,red
13179,18.46,6.42,31,red
9003,260.45,59.22,45,red
9013,9.67,4.93,4,red
9015,27.42,7.71,31,red
25019,3.45,2.0,4,red
24023,8.35,2.74,4,red
50027,6.23,3.1,4,red
33019,5.24,2.71,4,red
33001,8.49,3.12,4,red
33005,7.29,4.12,4,red
33017,17.56,8.0,31,red
36123,3.08,1.1,4,red
36003,6.3,3.12,4,red
36007,23.61,18.73,39,red
36009,18.61,9.45,31,red
36015,12.58,8.37,31,red
36017,7.82,2.22,4,red
36023,5.69,3.8,4,red
36025,410.12,405.54,7,orange
36037,17.61,3.74,4,red
36041,1.0,0.75,4,red
36049,6.29,1.81,4,red
36051,16.24,3.78,4,red
36053,4.38,1.22,4,red
36057,4.6,2.61,4,red
36067,80.17,58.04,17,red
36069,51.02,46.53,17,red
36071,219.23,33.04,36,red
36077,5.58,3.1,4,red
36079,8.66,2.82,4,red
36087,266.2,33.18,36,red
36095,176.69,173.82,19,red
36097,12.12,0.83,4,red
36099,16.81,4.41,4,red
36101,19.65,7.5,31,red
36105,96.9,89.77,17,red
36107,6.51,3.45,4,red
36109,148.86,7.87,42,red
36121,8.64,3.26,4,red
42001,19.66,12.39,31,red
42003,572.24,178.17,32,orange
42005,28.15,6.65,4,red
42007,197.95,22.14,42,red
42009,16.6,9.99,31,red
42013,18.26,13.07,31,red
42015,9.78,3.02,4,red
42019,14.91,7.66,31,red
42021,17.72,14.93,31,red
42023,0.89,0.34,4,red
42031,4.46,2.73,4,red
42033,121.98,5.84,21,red
42037,9.55,5.02,4,red
42039,14.44,5.67,4,red
42041,32.36,13.36,31,red
42043,92.72,31.47,39,red
42047,21.95,5.32,4,red
42053,2.4,0.41,4,red
42055,18.87,8.47,31,red
42057,2.01,0.37,4,red
42059,18.25,7.19,4,red
42061,7.56,2.85,4,red
42063,42.71,4.11,4,red
42065,4.86,2.14,4,red
42067,3.76,0.82,4,red
42069,43.04,38.7,17,red
42071,2615.9,54.45,22,purple
42073,59.67,10.07,31,red
42075,15.01,3.55,4,red
42079,123.77,22.82,39,red
42083,11.48,6.77,4,red
42085,31.54,13.74,31,red
42087,8.34,2.69,4,red
42093,0.9,0.03,4,red
42099,4.83,0.71,4,red
42103,4.38,3.05,4,red
42105,5.4,0.91,4,red
42107,32.86,23.38,39,red
42109,5.12,1.6,4,red
42111,27.35,22.61,31,red
42113,1.08,0.65,4,red
42115,4.12,1.41,4,red
42117,7.57,2.03,4,red
42119,5.9,2.87,4,red
42121,6.98,4.68,4,red
42123,13.94,3.07,4,red
42125,46.63,39.71,17,red
42131,11.42,0.66,4,red
42133,83.28,34.82,39,red
