state,countyname,fips,lon,lat,tp_totpop,ps_gwpop,ps_swpop,ps_topop,ps_wgwto,ps_wswto,ps_wtotl,do_sspop,do_sspcp,do_psdel,do_pspcp,do_wfrto,do_wdelv_,in_wgwto,in_wswto,in_wtotl,ir_wfrto,ir_recww,ir_cusfr,ir_irtot,ic_wfrto,ic_recww,ic_cusfr,ic_irtot,ig_wfrto,ig_recww,ig_cusfr,ig_irtot,li_wfrto,aq_wgwto,aq_wswto,aq_wtotl,mi_wgwto,mi_wswto,mi_wtotl,pt_wgwto,pt_wswto,pt_wtotl,pt_recww,pt_psdel,pt_cutot,pt_power,po_wgwto,po_wswto,po_wtotl,po_recww,po_psdel,po_cutot,po_power,pc_wgwto,pc_wswto,pc_wtotl,pc_recww,pc_psdel,pc_cutot,pc_power,to_wgwto,to_wswto,to_wtotl,to_cutotpartial,population,median_household_income,tmean_c,tdmean_c,netmean_c,himean_c,hxmean_c,wbgtmean_c,flag_t,flag_td,flag_net,flag_hi,flag_hx,flag_wbgt,normal_wet,abnormally_dry,moderate_drought,severe_drought,extreme_drought,exceptional_drought,cluster_model1,cluster_model2,cluster_model3,cluster_model4
ME,Washington,23029,-67.6361,45.0363,31.625,9.446,1.9,11.346,1.38,0.19,1.57,20.279,53.0,0.58,51.0,1.07,1.65,0.39,26.98,27.37,7.37,0.0,7.02,15.18,7.34,0.0,6.99,15.13,0.03,0.0,0.03,0.05,0.01,0.0,9.9,9.9,0.01,0.1,0.11,0.35,0.0,0.35,0.0,0.0,0.25,125.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.35,0.0,0.0,0.25,125.81,6.88,40.87,47.75,7.27,32191.0,38083.0,6.65,2.39,-2.55,6.35,6.24,6.2,0.0,0.0,0.0,0.0,0.0,0.0,86.78,13.22,0.0,0.0,0.0,0.0,4,27,4,45
GA,McIntosh,13191,-81.2646,31.5329,13.969,10.497,0.0,10.497,1.04,0.0,1.04,3.472,75.0,0.94,90.0,0.26,1.2,0.02,0.0,0.02,0.16,0.0,0.16,0.15,0.0,0.0,0.0,0.0,0.16,0.0,0.16,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48,0.0,1.48,0.16,14007.0,42988.0,20.64,16.44,14.46,21.35,26.32,19.77,0.0,0.0,0.0,0.0,0.0,0.0,75.07,24.93,2.25,0.0,0.0,0.0,4,27,4,34
GA,McIntosh,13191,-81.2646,31.5329,13.969,10.497,0.0,10.497,1.04,0.0,1.04,3.472,75.0,0.94,90.0,0.26,1.2,0.02,0.0,0.02,0.16,0.0,0.16,0.15,0.0,0.0,0.0,0.0,0.16,0.0,0.16,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48,0.0,1.48,0.16,14007.0,42988.0,20.64,16.44,14.46,21.35,26.32,19.77,0.0,0.0,0.0,0.0,0.0,0.0,75.07,24.93,2.25,0.0,0.0,0.0,4,27,4,34
GA,McIntosh,13191,-81.2646,31.5329,13.969,10.497,0.0,10.497,1.04,0.0,1.04,3.472,75.0,0.94,90.0,0.26,1.2,0.02,0.0,0.02,0.16,0.0,0.16,0.15,0.0,0.0,0.0,0.0,0.16,0.0,0.16,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48,0.0,1.48,0.16,14007.0,42988.0,20.64,16.44,14.46,21.35,26.32,19.77,0.0,0.0,0.0,0.0,0.0,0.0,75.07,24.93,2.25,0.0,0.0,0.0,4,27,4,34
GA,McIntosh,13191,-81.2646,31.5329,13.969,10.497,0.0,10.497,1.04,0.0,1.04,3.472,75.0,0.94,90.0,0.26,1.2,0.02,0.0,0.02,0.16,0.0,0.16,0.15,0.0,0.0,0.0,0.0,0.16,0.0,0.16,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48,0.0,1.48,0.16,14007.0,42988.0,20.64,16.44,14.46,21.35,26.32,19.77,0.0,0.0,0.0,0.0,0.0,0.0,75.07,24.93,2.25,0.0,0.0,0.0,4,27,4,34
GA,McIntosh,13191,-81.2646,31.5329,13.969,10.497,0.0,10.497,1.04,0.0,1.04,3.472,75.0,0.94,90.0,0.26,1.2,0.02,0.0,0.02,0.16,0.0,0.16,0.15,0.0,0.0,0.0,0.0,0.16,0.0,0.16,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48,0.0,1.48,0.16,14007.0,42988.0,20.64,16.44,14.46,21.35,26.32,19.77,0.0,0.0,0.0,0.0,0.0,0.0,75.07,24.93,2.25,0.0,0.0,0.0,4,27,4,34
GA,McIntosh,13191,-81.2646,31.5329,13.969,10.497,0.0,10.497,1.04,0.0,1.04,3.472,75.0,0.94,90.0,0.26,1.2,0.02,0.0,0.02,0.16,0.0,0.16,0.15,0.0,0.0,0.0,0.0,0.16,0.0,0.16,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48,0.0,1.48,0.16,14007.0,42988.0,20.64,16.44,14.46,21.35,26.32,19.77,0.0,0.0,0.0,0.0,0.0,0.0,75.07,24.93,2.25,0.0,0.0,0.0,4,27,4,34
GA,McIntosh,13191,-81.2646,31.5329,13.969,10.497,0.0,10.497,1.04,0.0,1.04,3.472,75.0,0.94,90.0,0.26,1.2,0.02,0.0,0.02,0.16,0.0,0.16,0.15,0.0,0.0,0.0,0.0,0.16,0.0,0.16,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48,0.0,1.48,0.16,14007.0,42988.0,20.64,16.44,14.46,21.35,26.32,19.77,0.0,0.0,0.0,0.0,0.0,0.0,75.07,24.93,2.25,0.0,0.0,0.0,4,27,4,34
GA,McIntosh,13191,-81.2646,31.5329,13.969,10.497,0.0,10.497,1.04,0.0,1.04,3.472,75.0,0.94,90.0,0.26,1.2,0.02,0.0,0.02,0.16,0.0,0.16,0.15,0.0,0.0,0.0,0.0,0.16,0.0,0.16,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48,0.0,1.48,0.16,14007.0,42988.0,20.64,16.44,14.46,21.35,26.32,19.77,0.0,0.0,0.0,0.0,0.0,0.0,75.07,24.93,2.25,0.0,0.0,0.0,4,27,4,34
GA,McIntosh,13191,-81.2646,31.5329,13.969,10.497,0.0,10.497,1.04,0.0,1.04,3.472,75.0,0.94,90.0,0.26,1.2,0.02,0.0,0.02,0.16,0.0,0.16,0.15,0.0,0.0,0.0,0.0,0.16,0.0,0.16,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48,0.0,1.48,0.16,14007.0,42988.0,20.64,16.44,14.46,21.35,26.32,19.77,0.0,0.0,0.0,0.0,0.0,0.0,75.07,24.93,2.25,0.0,0.0,0.0,4,27,4,34
