attribute,description,definition,units,source
state,"United States postal abbreviation for one of the 50 States, the District of Columbia, Puerto Rico, or the U.S. Virgin Islands.","United States postal abbreviation for one of the 50 States, the District of Columbia, Puerto Rico, or the U.S. Virgin Islands.",,USGS Water Usage
fips,Concatenation of STATEFIPS and COUNTYFIPS attributes,Concatenation of STATEFIPS and COUNTYFIPS attributes,,USGS Water Usage
tp_totpop,Total population of area,"Total population of area, in thousands",thousands,USGS Water Usage
ps_gwpop,"Public Supply, population served by groundwater","Public Supply, population served by groundwater, in thousands",thousands,USGS Water Usage
ps_swpop,"Public Supply, population served by surface water","Public Supply, population served by surface water, in thousands",thousands,USGS Water Usage
ps_topop,"Public Supply, total population served","Public Supply, total population served, in thousands",thousands,USGS Water Usage
ps_wgwto,"Public Supply, groundwater withdrawals, total","Public Supply, groundwater withdrawals, total, in Mgal/d",Mgal/d,USGS Water Usage
ps_wswto,"Public Supply, surface-water withdrawals, total","Public Supply, surface-water withdrawals, total, in Mgal/d",Mgal/d,USGS Water Usage
ps_wtotl,"Public Supply, total withdrawals, total (fresh+saline)","Public Supply, total withdrawals, total (fresh+saline), in Mgal/d",Mgal/d,USGS Water Usage
do_sspop,"Domestic, self-supplied population","Domestic, self-supplied population, in thousands",thousands,USGS Water Usage
do_wfrto,"Domestic, total self-supplied withdrawals, fresh","Domestic, total self-supplied withdrawals, fresh, in Mgal/d",Mgal/d,USGS Water Usage
do_sspcp,"Domestic, self-supplied per capita use","Domestic, self-supplied per capita use, in gal/d",gal/d,USGS Water Usage
do_psdel,"Domestic, deliveries from Public Supply","Domestic, deliveries from Public Supply, in Mgal/d",Mgal/d,USGS Water Usage
do_pspcp,"Domestic, publicly supplied per capita use","Domestic, publicly supplied per capita use, in gal/d",gal/d,USGS Water Usage
in_wgwto,"Industrial, self-supplied groundwater withdrawals, total","Industrial, self-supplied groundwater withdrawals, total, in Mgal/d",Mgal/d,USGS Water Usage
in_wswto,"Industrial, self-supplied surface-water withdrawals, total","Industrial, self-supplied surface-water withdrawals, total, in Mgal/d",Mgal/d,USGS Water Usage
in_wtotl,"Industrial, self-supplied total withdrawals, total (fresh+saline)","Industrial, self-supplied total withdrawals, total (fresh+saline), in Mgal/d",Mgal/d,USGS Water Usage
ir_wfrto,"Irrigation, total withdrawals, fresh","Irrigation, total withdrawals, fresh, in Mgal/d",Mgal/d,USGS Water Usage
ir_recww,"Irrigation, reclaimed wastewater","Irrigation, reclaimed wastewater, in Mgal/d",Mgal/d,USGS Water Usage
ir_cusfr,"Irrigation, consumptive use, fresh","Irrigation, consumptive use, fresh, in Mgal/d",Mgal/d,USGS Water Usage
ir_irtot,"Irrigation, acres irrigated, total","Irrigation, acres irrigated, total, in thousand acres",thousand acres,USGS Water Usage
ic_wfrto,"Irrigation-Crop, total withdrawals, fresh","Irrigation-Crop, total withdrawals, fresh, in Mgal/d",Mgal/d,USGS Water Usage
ic_recww,"Irrigation, reclaimed wastewater","Irrigation, reclaimed wastewater, in Mgal/d",Mgal/d,USGS Water Usage
ic_cusfr,"Irrigation-Crop, consumptive use, fresh","Irrigation-Crop, consumptive use, fresh, in Mgal/d",Mgal/d,USGS Water Usage
ic_irtot,"Irrigation-Crop, acres irrigated, total","Irrigation-Crop, acres irrigated, total, in thousand acres",thousand acres,USGS Water Usage
ig_wfrto,"Irrigation-Golf, total withdrawals, fresh","Irrigation-Golf, total withdrawals, fresh, in Mgal/d",Mgal/d,USGS Water Usage
ig_recww,"Irrigation-Golf, reclaimed wastewater","Irrigation-Golf, reclaimed wastewater, in Mgal/d",Mgal/d,USGS Water Usage
ig_cusfr,"Irrigation-Golf, consumptive use, fresh","Irrigation-Golf, consumptive use, fresh, in Mgal/d",Mgal/d,USGS Water Usage
ig_irtot,"Irrigation-Golf, acres irrigated, total","Irrigation-Golf, acres irrigated, total, in thousand acres",thousand acres,USGS Water Usage
li_wfrto,"Livestock, total withdrawals, fresh","Livestock, total withdrawals, fresh, in Mgal/d",Mgal/d,USGS Water Usage
