year,FIPS,normal_wet,abnormally_dry,moderate_drought,severe_drought,extreme_drought,exceptional_drought
2000,10001,98.08,1.92,0.0,0.0,0.0,0.0
2000,10003,98.08,1.92,0.0,0.0,0.0,0.0
2000,10005,97.42,2.59,0.0,0.0,0.0,0.0
2000,1001,0.14,99.86,73.7,56.07,38.79,28.61
2000,1003,0.0,100.0,80.69,65.77,47.65,20.86
2000,1005,0.0,100.0,95.99,73.52,43.53,18.99
2000,1007,7.28,92.72,70.78,48.97,35.25,28.87
2000,1009,6.38,93.62,81.44,54.57,30.77,13.16
2000,1011,0.0,100.0,89.48,65.55,44.32,21.92
2000,1013,0.0,100.0,70.36,65.22,44.26,24.5
2000,1015,0.0,100.0,99.46,62.74,37.0,14.79
2000,1017,0.0,100.0,100.0,87.89,46.1,18.13
2000,1019,0.0,100.0,99.98,65.38,34.88,5.52
2000,1021,2.3,97.7,72.92,55.76,36.81,28.73
2000,1023,3.51,96.49,76.01,50.44,36.05,19.96
2000,1025,0.08,99.92,69.27,59.4,37.26,23.33
2000,1027,0.0,100.0,98.15,65.61,41.33,20.52
2000,1029,0.0,100.0,100.0,81.21,42.94,14.61
2000,1031,0.0,100.0,80.04,61.88,42.86,20.27
2000,1033,11.24,88.76,82.36,42.56,18.61,3.87
2000,1035,0.0,100.0,73.51,65.33,43.73,24.16
2000,1037,0.0,100.0,82.98,59.07,39.25,25.02
2000,1039,0.0,100.0,74.8,64.07,43.57,19.68
2000,1041,0.0,100.0,76.47,64.47,42.86,22.14
2000,1043,9.2,90.8,82.39,50.83,30.73,13.32
2000,1045,0.0,100.0,87.28,65.48,45.13,21.62
2000,1047,1.39,98.61,70.63,55.73,37.42,30.31
2000,1049,0.65,99.35,89.76,64.35,29.88,5.13
2000,1051,0.0,100.0,83.56,63.73,44.54,24.7
2000,1053,0.0,100.0,76.04,66.41,46.72,21.01
2000,1055,0.53,99.47,92.94,63.45,32.39,10.28
2000,1057,11.51,88.49,78.39,44.27,28.96,13.69
2000,1059,11.54,88.46,80.88,40.99,19.81,8.43
2000,1061,0.0,100.0,79.34,64.83,43.87,23.35
2000,1063,10.02,89.98,76.74,46.8,34.72,31.6
2000,1065,7.65,92.35,71.9,48.08,36.48,31.83
2000,1067,0.0,100.0,98.41,77.51,45.08,20.01
2000,1069,0.0,100.0,95.28,72.01,42.43,16.31
2000,1071,7.11,92.89,84.34,56.12,27.33,4.5
2000,1073,7.72,92.28,76.62,50.65,31.39,24.63
2000,1075,11.54,88.46,77.56,41.33,23.98,11.52
2000,1077,6.56,93.44,80.69,45.11,18.01,3.85
2000,1079,11.54,88.46,83.2,51.55,22.29,6.49
2000,1081,0.0,100.0,99.57,83.11,46.16,19.76
2000,1083,10.85,89.15,82.31,50.09,27.13,3.31
2000,1085,0.0,100.0,73.07,60.76,42.53,26.13
