state,countyname,fips,lon,lat
AS,Swains Island,60040,-171.0459,-11.0843
AS,Manu'a,60020,-169.506,-14.2219
AS,Western,60050,-170.7691,-14.3241
AS,Eastern,60010,-170.6596,-14.2763
AK,Chugach,2063,-145.7945,60.7356
AK,Copper River,2066,-143.9685,61.8843
PW,Koror,70150,134.3979,7.2464
PW,Airai,70004,134.5428,7.4279
PW,Kayangel,70100,134.7146,8.0745
PW,Sonsorol,70370,132.0991,5.0286
PW,Tobi,70050,131.1563,3.0055
PW,Melekeok,70212,134.5852,7.5623
PW,Angaur,70010,134.1372,6.9074
PW,Peleliu,70350,134.2477,7.0153
MH,Ailinglaplap,68010,168.7633,7.3959
MH,Enewetak,68090,162.3155,11.4745
MH,Ujae,68390,165.6317,9.1107
MH,Utrok,68410,169.8404,11.2304
MH,Wotje,68430,170.1603,9.4713
MH,Kwajalein,68150,167.4829,9.0685
MH,Jaluit,68120,169.6133,5.9418
MH,Majuro,68190,171.1789,7.1086
MH,Mili,68320,171.9031,6.0564
MH,Arno,68040,171.7228,7.0602
MP,Saipan,69110,145.7534,15.1889
MP,Tinian,69120,145.6267,15.003
MP,Rota,69100,145.2148,14.1576
MP,Agrihan,69085,145.6674,18.771
MP,Anatahan,69085,145.6774,16.3519
MP,Alamagan,69085,145.833,17.5998
MP,Pagan,69085,145.7666,18.1166
GU,Guam,66010,144.7774,13.4435
FM,Kosrae,64005,162.9766,5.3102
FM,Oroluk,64070,155.3206,7.5684
FM,Pakin,64001,157.8033,7.0649
FM,Pohnpei,64040,158.2288,6.8829
FM,Mwoakilloa,64001,159.7581,6.68
FM,Sapwuahfik,64001,157.2493,5.799
FM,Nukuoro,64001,154.9572,3.8531
FM,Kapingamarangi,64020,154.8005,1.0672
FM,Pingelap,64090,160.7044,6.215
FM,Onoun,64001,149.6884,8.5832
FM,Fananu,64350,151.9124,8.5612
FM,Chuuk Lagoon,64002,151.7574,7.3701
FM,Polowat,64610,149.1871,7.3623
FM,Lukunoch,64420,153.7735,5.5154
FM,Losap,64410,152.7215,6.8717
FM,Fais,64030,140.5184,9.7631
FM,Faraulep,64001,144.5165,8.59
FM,Satawal,64640,147.031,7.3807
FM,Woleai,64120,143.8757,7.3639
FM,Eauripik,64010,143.06,6.6891
FM,Ngulu,64080,137.5069,8.3906
FM,Yap,64060,138.127,9.5399
FM,Ulithi,64110,139.7259,9.9895
